fitScore,name,over500,headcount,headcountRange,headcountConfidence,founded,stage,fundingRaised,investors,hq,remotePolicy,vertical,notability,oneLiner,whatTheyDo,roleFit,profileLeverage,codingLightness,tractionHealth,fitRationale,redFlags,sources
40.75,Tailor,False,50,"~50 (TechCrunch, Jun 2025: grew from 10 in 2022 to ~50 across Japan/US)",medium,2021,Series A,"$37M total ($22M initial Series A + $15M extension close, ~2025)","NEA, ANRI, Y Combinator, Spiral Capital, JIC Venture Growth Investments, i-nest capital, Sumitomo Mitsui Trust Bank, Japan Post Investment","Tokyo, Japan + US (San Francisco); distributed across several countries",This FDPM role is explicitly US Remote; company is distributed,Composable / 'headless' ERP with AI-agent access (enterprise back-office software),somewhat-known,"Headless, composable ERP platform that lets companies (and AI agents) build custom back-office systems via API.","Tailor separates the ERP back end (inventory, accounting, order management) from the front end so companies can compose custom systems, and exposes it to AI agents via its Omakase API layer to automate workflows. Buyers are mid-market and enterprise retail/commerce and operations teams that find legacy monolithic ERPs too rigid.",5,5,4,4,"The Forward-Deployed Product Manager role is almost a one-to-one match for this candidate: extracting requirements from clients, running onboarding/scoping/delivery, building templates and quality/process frameworks, and distilling recurring customer insights into a prioritized roadmap. It rewards B2B customer discovery, qualitative synthesis, domain writing, and program/ops management rather than shipping production code.","Requires understanding of ERP/API concepts (technical-adjacent, not coding-heavy). Headcount is an estimate from a mid-2025 article and may have grown; Japan-origin company in a competitive ERP market. FDPM roles can carry heavy delivery/travel and on-call client pressure.",https://techcrunch.com/2025/06/30/tailor-a-headless-erp-startup-raises-22m-series-a/ ; https://www.crowdfundinsider.com/2025/11/255798-erp-fintech-tailor-completes-series-a-has-raised-37m-to-date/ ; https://www.ycombinator.com/companies/tailor/jobs/D0c72yB-forward-deployed-product-manager ; https://jobs.ashbyhq.com/tailor/b69e751a-d3ea-426f-8bd7-962116162534 ; https://www.tailor.tech/resources/posts/tailor-raises-37-million-series-a
40.75,Tribe AI,False,90,"~50-120 core W2 (PitchBook 121, Growjo ~67); plus a 600+ network of contract AI engineers/product builders who are NOT employees",medium,2019 (bootstrapped ~6 years before first raise),Seed,$3.25M seed (2024),Indie.vc / Bryce Roberts (lead); ~1/3 of round from customers and its own network of AI engineers,"Brooklyn / New York, NY",Remote-first (all three target roles listed as Remote; forward-deployed roles embed on-site at client accounts ~80% of the time),Horizontal AI consulting / forward-deployed AI services (AI-native professional services),somewhat-known,"AI-native services firm that embeds fractional teams to help enterprises design, build, and deploy AI products.",Tribe AI is an AI-native strategy and delivery partner that staffs enterprise AI projects from a curated 600+ network of specialized AI engineers and product builders rather than a traditional W2 bench. Buyers are enterprise and mid-market companies (Fortune 1000 and scaleups) that want measurable AI outcomes without building an in-house AI org.,5,5,4,4,"Near-ideal: the Delivery Lead role is pure program/operations management (milestone tracking, program health RAG status, quality/delivery frameworks, risk surfacing) and the Forward Deployed PM roles are product management + embedded B2B customer discovery and product strategy — no daily production coding. Small, funded, remote-first services firm well under 500 employees, directly rewarding this candidate's PM + qualitative-research + ops + writing profile.","Only lightly funded ($3.25M seed) and services-margin business, so headcount/comp scale is modest; forward-deployed roles require heavy on-site client embedding (~80%) and are technical-adjacent (must be fluent talking AI architecture with engineers, though not shipping code).",https://www.tribe.ai/job-postings/delivery-lead ; https://www.tribe.ai/job-postings/lead-product-manager-forward-deployed ; https://techcrunch.com/2024/07/17/tribe-ai-raised-venture-capital-to-keep-up-with-demand-after-six-years-of-bootstrapping/ ; https://www.crunchbase.com/organization/tribe-ai ; https://pitchbook.com/profiles/company/398871-10 ; https://builtin.com/company/tribe-ai
39.75,Siena AI,False,45,~30-50 (Crunchbase/Wellfound report 11-50; one source cited 45 total),medium,2022,Seed,"~$4.7M seed (Nov 2023), plus ~$1M earlier; ~$5.7M total known","Sierra Ventures, Pari Passu Ventures, Spacestation Investments, Village Global, The Council, OpenSky Ventures","San Francisco, CA (remote-friendly; founders Romanian)",Remote-first; the Forward Deployed PM role is listed Remote,Autonomous AI customer service for e-commerce / D2C (conversational commerce),somewhat-known,Empathic autonomous AI customer-service agent purpose-built for e-commerce and D2C brands.,"Siena AI provides an autonomous, 'empathic' AI chat agent that handles customer service for e-commerce/D2C merchants across channels, combining human-like reasoning with automation. It is sold to online retail and consumer brands; founders are second-time e-commerce entrepreneurs (previously Cartloop).",5,5,4,3,"The Forward Deployed Product Manager, Agents role is an excellent match: it centers on D2C/e-commerce customer discovery, deploying agents at customer sites, synthesizing messy qualitative conversation signal, and defining quality/eval rubrics for agent responses — squarely the candidate's D2C discovery, qualitative research, and rubric-design strengths, with writing/ops leverage. FDE work is technical-adjacent but not production-code-heavy.","Only seed-stage with modest ~$4.7M funding in a crowded AI-CS market (Sierra, Decagon, Intercom Fin, Gorgias), so traction/runway carries more risk than better-capitalized peers; headcount data is a couple years old but firmly under 500.",https://techcrunch.com/2023/11/16/siena-ai-4-7m-ai-customer-service-agent/ ; https://www.crunchbase.com/organization/siena-ai ; https://www.siena.cx/ ; https://wellfound.com/company/siena-ai/funding ; https://www.linkedin.com/company/siena-ai
39.25,Northslope Technologies,False,100,~80-150 (not publicly disclosed; described as a global team of 100% Palantir alumni across NYC/London/Denver hubs; estimate from Series A stage + LinkedIn/TheOrg signals),low,2024,Series A,$22M Series A (announced Jan 2026),"Co-led by Friends & Family Capital (ex-Palantir CFO Colin Anderson) and Goldcrest Capital (Adam Ross, Palantir's first independent board member); Fifth Down Capital, Leblon Capital, and a network of Palantir alumni","New York City (hub offices also in London and Denver; forward operating offices across North America, EMEA, ANZ)",Forward-deployed model with hub offices and on-site/customer deployments; Deployment Strategist listed for multiple locations (NYC/Denver/London/UK) - travel- and onsite-oriented rather than fully remote,"Applied AI / forward-deployed enterprise software built natively on Palantir Foundry & AIP (defense/national security, healthcare, energy, manufacturing, financial services, supply chain)",somewhat-known,Palantir's first Vanguard Elite Partner building mission-specific AI applications on the Palantir operating system.,"Northslope is a forward-deployed applied-AI firm, founded by Palantir alumni, that builds operationalized AI workflows on customers' enterprise data using Palantir AIP/Foundry, shipping working MVPs within days. Customers are large enterprises and government/defense organizations modernizing operations, and the company reports ~7x revenue growth in its first year.",5,5,3,4,"The Deployment Strategist role is a classic forward-deployed / FDE-adjacent position centered on customer discovery, understanding a customer's critical objectives, and building operationalized workflows and delivery - directly leveraging the candidate's B2B discovery, qualitative synthesis, and program/ops strengths without requiring daily production coding.","Hub offices are NYC/London/Denver, not SF Bay, and the role is deployment/onsite/travel-oriented rather than clearly fully-remote - geo fit is imperfect. Deployment work on Palantir Foundry/AIP is technical-adjacent and can get hands-on (pipeline/config building), so 'not-heavy-coding' fit depends on the specific team. Young (2024) and small, so early-stage volatility risk. Headcount unconfirmed.",https://jobs.ashbyhq.com/northslope-technologies/95920eaa-16bd-4b91-a18c-a5d760a93068 ; https://www.northslope.com/ ; https://www.northslope.com/careers ; https://www.businesswire.com/news/home/20260129769255/en/ ; https://www.finsmes.com/2026/01/northslope-raises-22m-in-series-a-funding.html ; https://www.crunchbase.com/organization/northslope-technologies ; https://theorg.com/org/northslope-technologies
38.75,AfterQuery,False,30,"~30 (YC/Tracxn/AI Market Watch, 2026); Experts contractor network is much larger but separate",medium,2025 (January; YC W25 batch),Series A,$30M Series A at ~$300M valuation (April 2026); reportedly >$100M revenue run rate,"Altos Ventures (lead), The Raine Group, Y Combinator, BoxGroup; angels from Google DeepMind, OpenAI, Anthropic, Meta Superintelligence Labs, Microsoft AI","San Francisco, CA","Core hiring roles mostly onsite in SF; Strategic Projects Lead listed as Multiple/onsite-leaning, with a large remote 'Experts' contributor network separate from HQ staff",AI training data / applied research lab (expert reasoning datasets and evals for frontier foundation-model labs),somewhat-known,Applied research lab building expert-level datasets and evals to train frontier AI models.,"AfterQuery curates high-reasoning, professional-grade datasets and evaluation environments that capture expert workflows to train foundation models, selling to frontier AI labs. It overcomes the public-internet 'data wall' by sourcing and structuring domain-expert reasoning that models cannot otherwise learn from.",4,5,4,5,"The (non-coding) Strategic Projects Lead sits with the founding team across product, research, and operations — a near-ideal match for a PM/ops generalist, and the company's core work of defining expert datasets, grading rubrics, and evals directly rewards the candidate's rubric/evaluation-design and qualitative-research strengths.","Two variants of the role exist — a 'Technical Strategic Projects Lead - Coding' version would be a poor fit; candidate should target the non-coding Strategic Projects Lead. Highly technical, fast-moving environment and mostly-onsite SF expectation for core staff. Headcount (~30) is an estimate; the separate 'Experts' network inflates some employee-count sources.",https://www.ycombinator.com/companies/afterquery/jobs/wKJZW2E-strategic-projects-lead ; https://www.ycombinator.com/companies/afterquery ; https://www.ai-market-watch.com/company/afterquery ; https://pitchbook.com/profiles/company/770029-39 ; https://www.crunchbase.com/organization/afterquery ; https://www.afterquery.com/careers
38.75,David AI,False,47,~40-50 (PitchBook 47; Crunchbase 11-50; LinkedIn growing fast post-Series B),medium,2024,Series B,"~$80M total ($5M seed Jan 2025, $25M Series A May 2025, $50M Series B Oct 2025); ~$500M valuation","Meritech Capital (Series B lead), NVIDIA, Alt Capital, Amplify Partners, First Round Capital; Y Combinator","San Francisco, CA",Onsite (SF) for this Deployment Strategist role,Audio/voice AI training data (data infrastructure for AI labs),somewhat-known,Audio data research company building high-quality conversational and multilingual speech datasets to train voice/audio AI models.,"David AI designs, collects, and curates conversational audio datasets (off-the-shelf products like Converse, Atlas, Chorus, Dialog, plus custom collection/labeling/metadata pipelines) with an R&D approach to data quality. Its buyers are frontier AI labs and companies building voice and conversational AI models.",5,4,4,5,"The Deployment Strategist is a customer-facing, consultative role: partner with senior stakeholders on their audio AI initiatives, uncover opportunities, define priorities, and design solutions — a near-direct match for a PM with heavy B2B customer discovery and strong writing. The audio-data domain also rewards quality-framework and evaluation-rubric thinking (defining 'good' data), and the role is strategy/ops rather than production coding.","SF onsite only (candidate accepts this). Fast headcount growth means it could cross larger sizes later, but currently well under 500. Founders are ex-Scale AI.",https://sacra.com/c/david-ai/ ; https://techfundingnews.com/david-ai-raises-50m-series-b-audio-data-ai/ ; https://pitchbook.com/profiles/company/619333-48 ; https://www.crunchbase.com/organization/david-ai-f9af ; https://www.ycombinator.com/companies/david-ai/jobs/wXlgOpO-deployment-strategist ; https://jobs.ashbyhq.com/david-ai/38337259-253a-4b4c-a066-884ed1f53eed
38.75,HappyRobot,False,152,"~150 (152 per Tracxn, May 2026)",high,2023,Series B,~$62M total ($15.6M Series A + $44M Series B + seed),"a16z (Andreessen Horowitz), Base10, Array Ventures, Y Combinator","San Francisco, CA",SF-based; Deployment Strategist posted with both onsite and remote options (multiple locations),"Logistics / supply chain AI agents (voice, email, enterprise workflow automation)",somewhat-known,AI workforce infrastructure automating freight and supply chain operations for enterprises.,"HappyRobot builds AI 'workers' that autonomously handle voice calls, email, and enterprise-system actions across logistics and supply chain operations (e.g., freight brokerage, carrier check-ins). It sells to enterprise shippers, brokers, and 3PLs including DHL, Ryder, Schneider, and Werner, powering operations for 70+ enterprise customers.",5,4,4,5,"The Deployment Strategist role is essentially a forward-deployed PM: dive into customer operations, do discovery with end-users and decision-makers, design workflows, run training, present findings, and drive expansion — a near-perfect match for the candidate's product-research, customer-discovery, and ops profile without daily production coding. Only caveat is the logistics domain, where the candidate may lack prior domain depth, slightly capping profileLeverage.","Logistics/supply chain domain may be unfamiliar to the candidate; role involves 'collaborating with engineers on solution delivery' and integrating datasets, so light technical/data comfort expected (not full SWE).",https://www.crunchbase.com/organization/happyrobot ; https://tracxn.com/d/companies/happyrobot/__tpvjXC1ztQVCcmwI5nABkYY6mAzlVf0z6lPp3kO-tjk ; https://www.happyrobot.ai/blog/series-b-announcement ; https://www.freightwaves.com/news/happyrobot-raises-44m-to-revolutionize-supply-chains ; https://jobs.ashbyhq.com/happyrobot.ai ; https://www.ycombinator.com/companies/happyrobot/jobs/oClwpBb-deployment-strategist
38.75,Pallet,False,80,51-200 (LinkedIn band); realistic ~70-90 given Series B trajectory and product/eng expansion,medium,2023,Series B,"$50M total ($27M Series B, May 2025)","General Catalyst (lead), Bain Capital Ventures, Activant Capital, Bessemer Venture Partners, Vicus Ventures, BoxGroup; angels incl. Dan Lewis (Convoy), Amit Agarwal (ex-Datadog), Aatish Nayak (Harvey)","San Francisco, CA","Mixed. Task lists the Deployment Strategist as Remote, but the General Catalyst job board shows the AI-team Deployment Strategist as NYC in-office (5 days/week) with ~monthly customer travel. Confirm the specific req before assuming remote.",Logistics / supply chain AI automation (agentic back-office workforce for freight brokers/carriers),somewhat-known,"AI 'workforce' (CoPallet) that automates manual back-office logistics operations like order entry, quoting, and portal updates.","Pallet builds AI agents that take over repetitive back-office logistics tasks (order entry, quoting, tracking/portal updates) for freight brokers, carriers, and 3PLs, claiming ~10x speed at under half the cost of human staffing. Buyers are mid-market and larger logistics providers; 100+ logistics leaders reportedly use the platform.",5,4,4,5,"Deployment Strategist is a customer-facing implementation role (map customer workflows, configure/onboard AI agents, drive adoption) that fits the candidate's PM + customer-discovery + ops/delivery profile very well and is technical-adjacent rather than code-shipping. Strong Series B backing means healthy traction.",The AI-team Deployment Strategist per the GC job board is NYC in-office 5 days/week (geo mismatch with candidate's SF/remote preference) — verify whether a remote variant exists. Logistics/freight is a specialized domain the candidate would need to ramp on.,https://techcrunch.com/2024/10/02/pallet-uses-ai-to-bring-logistics-into-the-21st-century/ ; https://www.businesswire.com/news/home/20250527164246/en/Pallet-Secures-$27M-Series-B-Led-by-General-Catalyst-to-Scale-AI-Workforce-for-Logistics ; https://www.pallet.com/blog/series-b ; https://jobs.generalcatalyst.com/companies/pallet-2-0eab302b-9680-4ddb-a125-bf99957d493e/jobs/61847920-deployment-strategist-ai-team ; https://www.crunchbase.com/organization/pallet-e5eb ; https://www.linkedin.com/company/trypallet
38.5,Dealops,False,17,~15-20 (PitchBook/Tracxn ~17 as of 2026; Crunchbase 11-50),medium,2023,Seed (seed + pre-seed),"$7M (seed + pre-seed, announced 2025)","Pear VC and General Catalyst (co-leads), Depth VC, Elsa Ventures, Weekend Fund, Flex Capital, Allison Pickens, 20Sales; angels from OpenAI, Anthropic, Stripe, Salesforce","San Francisco, CA",Remote-friendly / multiple locations (role listed as remote),B2B pricing & CPQ / revenue operations (GTM finance),obscure,AI-native deal pricing and quoting (CPQ) platform for modern B2B revenue teams.,"Dealops builds pricing, quoting, and deal-execution infrastructure that gives RevOps and sales teams AI-driven pricing recommendations, cutting quote time from 30-45 minutes to 3-4 and lifting deal sizes. Buyers are B2B software and AI-native companies (customers include Harvey and Airwallex); it has processed over $1B in revenue.",5,4,4,4,"The Forward Deployed Strategist leads client-facing projects implementing AI pricing/deal workflows — heavy on B2B customer discovery, program/delivery management, and translating messy pricing signal into structured logic, which maps well to the candidate's PM + ops + discovery profile with a remote option. Pricing-rule and deal-quality definition also draws on rubric/evaluation instincts; coding is config-level, not production engineering.","Very early and small ($7M seed, ~17 people) — more stage risk than a funded scale-up. Founding year appears as 2014 in one aggregator (Tracxn) but that is a data error; the company is a recent ex-Stripe-founded startup (founder Spyri Karasavva). Disambiguate from generic 'DealOps' revenue-ops terminology.",https://www.prnewswire.com/news-releases/dealops-raises-7-million-to-power-pricing-in-the-ai-era-302527349.html ; https://pear.vc/announcing-pears-investment-in-dealops-the-gtm-finance-platform-reimagining-deal-execution/ ; https://tracxn.com/d/companies/dealops/__opGa3cwzarU8EbH5A0n82tJSBk4siscz_rvY2He6L2M ; https://pitchbook.com/profiles/company/607086-37 ; https://jobs.ashbyhq.com/dealops/9b3464bd-9cad-4e66-8534-87d2e5fc79c5 ; https://dealops.com/
37.75,Prosper AI,False,50,"~40-70 (est.); YC S23 Series A startup with $30M raised — no published exact count, inferred from stage",low,2023,Series A,"~$36.6M total; $30M Series A led by a16z (2026), plus $5M seed (Oct 2025)","Andreessen Horowitz (a16z, led Series A), Base10 Partners, Emergence Capital, Y Combinator, Company Ventures","New York, NY","NYC-based; remote policy not clearly published (early-stage, likely NYC in-office/hybrid)","Healthcare operations — AI voice/phone agents for patient access, scheduling, benefit verification, prior authorization, and billing",somewhat-known,"Voice AI agents that automate healthcare's manual phone-and-admin workflows for providers, from scheduling to prior authorization.","Prosper builds AI phone agents that handle patient scheduling, insurance/benefit verification, prior auth, claims status, and billing calls for healthcare organizations. Buyers are health systems and provider groups (40+ customers, spanning 150,000+ providers), positioning it as a default voice-AI platform for healthcare's admin burden.",4,5,4,4,"The 'AI Product Manager' role is a strong match: deploying voice agents in healthcare demands heavy customer discovery with providers, qualitative synthesis of messy call/workflow signal, and exactly the rubric/evaluation-design work (defining what a 'good' agent call is, grading quality) the candidate specializes in. Healthcare ops is a domain that rewards strong writing and program/delivery management.","HQ is New York, not SF Bay, and remote policy is unconfirmed (candidate wants Bay onsite or fully remote); headcount is an estimate (low confidence) as no exact figure is published; small early-stage team means less role structure.",https://www.fiercehealthcare.com/ai-and-machine-learning/prosper-ai-lands-30m-backed-andreessen-horowitz-build-ai-workforce ; https://www.mobihealthnews.com/news/prosper-ai-secures-30m-scale-healthcare-voice-ai-agents ; https://www.ycombinator.com/companies/prosper ; https://www.healthcareittoday.com/2025/10/30/prosper-ai-raises-5m-to-be-the-default-voice-ai-platform-for-healthcares-450b-admin-crisis/ ; https://www.crunchbase.com/organization/prosper-ai
36.75,Context,False,30,"~20-40 (seed-stage, 2024-founded; no public exact count — estimated from funding/stage)",low,2024,Seed,~$15.75M total ($11M seed round announced May 2025 at $70M valuation),"Lux Capital (lead), Qualcomm Ventures, General Catalyst, angels","San Francisco, CA",SF-based; Deployment Strategist role likely onsite/hybrid in SF,Horizontal productivity / AI-native office suite,somewhat-known,Building the world's first AI-native office suite powered by a proprietary long-context 'Context Engine.',"Context is an early-stage startup building an AI-native office/productivity suite that embeds generative agents across documents, spreadsheets and workflows using long-context models over a user's own data and tools. Buyers are knowledge workers and enterprises looking to automate document-heavy work; founded by Thiel Fellow Joseph Semrai with talent from Stanford, Google, and Microsoft Research.",5,4,4,3,"A 'Deployment Strategist' is a Palantir-style forward-deployed, customer-facing role — heavy on customer discovery, workflow mapping, program delivery and translating messy enterprise needs into product, which maps directly onto this candidate's PM + qualitative-research + ops profile with little production coding. The main risk is stage: very early seed company where scope and stability are uncertain.","Very early (seed, ~2024) so small team and higher volatility; headcount not publicly confirmed; name collides with context.ai (OpenAI-acquired eval tool) and Contextual AI (RAG) — this is the office-suite company. Role may require SF onsite.",https://techcrunch.com/2025/05/28/context-gets-11m-to-build-an-ai-powered-office-suite/ ; https://techstartups.com/2025/05/28/context-raises-11m-to-launch-the-first-ai-native-office-suite-now-valued-at-70m/ ; https://www.businesswire.com/news/home/20250708658619/en/Context-Launches-the-Worlds-First-AI-Native-Office-Suite-to-Automate-2.5-Trillion-Hours-of-Annual-Knowledge-Work
35.75,Onebrief,False,345,"~345 (Tracxn/Unify, Mar 2026); PitchBook lags at ~200",medium,2019,Series D,~$303M total (Jan 2026 $200M Series D at $2.15B valuation; prior $103M through Series C),"Battery Ventures, Sapphire Ventures, Salesforce Ventures, General Catalyst, Insight Partners","Honolulu, HI (distributed team across 5 continents)",Remote-friendly / distributed; the Staff PM Applied AI role is listed Remote,Defense tech / military operational planning software,somewhat-known,AI-powered operational planning and collaboration platform for military headquarters and command staffs.,"Onebrief builds a collaborative workflow and decision-support platform used by U.S. and allied military staffs to accelerate operational planning, wargaming, and command decisions. Buyers are defense/military headquarters and combatant commands; it is now integral to three of the four largest global operational plans.",4,4,4,5,"The open role is a Staff Product Manager, Applied AI (Remote) — a genuine non-coding PM seat that rewards this candidate's B2B customer discovery, domain writing, and program coordination with demanding military end-users. Slightly lower than a perfect fit because 'Applied AI' PM leans somewhat technical and the defense/clearance context plus niche domain may require ramp-up.",Defense-tech may involve security-clearance or ITAR constraints; 'Applied AI' PM title can skew technical; HQ in Honolulu though role is remote.,https://www.crunchbase.com/organization/onebrief ; https://builtin.com/articles/onebrief-raises-200m-series-d-2b-valuation-20260113 ; https://www.thesaasnews.com/news/onebrief-closes-200m-series-d-at-2-15b-valuation ; https://tracxn.com/d/companies/onebrief/__Do17tgTRWC1wUV1Bdewu113l28GEvakhHdIg3iYdle0 ; https://www.unifygtm.com/insights-headcount/onebrief ; https://www.ycombinator.com/companies/onebrief
35.0,Profound,False,180,~120-230 (Feb 2026 sources said <120; May 2026 estimate ~228; ~165 cited as category leader) — rapid hiring,medium,2024 (August),Series C,"$155M+ total; $96M Series C at $1B valuation (Feb 2026), preceded by $35M Series B and $20M Series A","Lightspeed Venture Partners (led Series C), Sequoia Capital, Kleiner Perkins","New York, NY","NYC-headquartered, primarily in-office; remote availability role-dependent and not confirmed for the PM opening",AI marketing / martech — Answer Engine Optimization (AEO) and AI brand visibility,well-known,Analytics and optimization platform that helps enterprise brands track and improve how they show up in AI answer engines like ChatGPT and Perplexity.,"Profound measures and optimizes brand visibility across AI-powered search/answer engines, giving marketers data on how LLMs represent, cite, and recommend their products. Buyers are enterprise marketing and SEO/brand teams (customers include Target, Walmart, Ramp, MongoDB), making it the category leader in the emerging AEO space.",4,4,4,5,"The 'Product Manager, AI' role suits a PM who runs B2B customer discovery and synthesizes qualitative signal; martech/AEO is a writable, strategy-heavy domain that rewards strong writing and rubric-style thinking about what 'good AI visibility' means. Main caveats are NYC location and that AI-product PM roles here may lean somewhat technical.","HQ is New York (candidate wants SF Bay onsite or fully remote) and remote status of the PM role is unconfirmed; very young company (founded 2024) hiring fast, so role scope may be fluid.",https://fortune.com/2026/02/24/exclusive-as-ai-threatens-search-profound-raises-96-million-to-help-brands-stay-visible/ ; https://www.tryprofound.com/blog/profound-raises-96m-series-c ; https://www.tryprofound.com/blog/series-b ; https://www.tryprofound.com/blog/series-a ; https://www.ai-market-watch.com/company/profound
34.75,Ema,False,180,~140-230 (Latka 138 in 2025; ZoomInfo/PitchBook ~166; Tracxn 228 as of May 2026) — best estimate ~180,medium,2023,Series A (plus a later strategic investment from KPMG),~$61M total: $25M seed (out of stealth Mar 2024) + $36M Series A; additional strategic investment from KPMG,"Accel and Section 32 (co-led Series A); Prosus Ventures, Wing VC, SCB 10X, Colle Capital, Frontier Ventures; KPMG (strategic)","Mountain View, CA (SF Bay Area)","Bay Area onsite roles plus some remote positions (e.g., UK remote); the named PM/Solutions Architect NA roles are SF/onsite","Horizontal enterprise agentic AI ('Universal AI Employee') — no-code AI agents across support, sales, employee experience, and other functions",somewhat-known,Builds configurable 'universal AI employees' — no-code agentic AI that automates work across enterprise functions.,"Ema offers a platform for enterprises to configure and deploy no-code AI agents that handle tasks across customer support, sales, HR, and operations, with on-prem deployment options. Buyers are mid-to-large enterprises adopting agentic AI, sold via direct and partner (e.g., KPMG) channels.",4,4,4,4,"The Product Manager opening rewards the candidate's core strengths — B2B customer discovery, qualitative synthesis, domain writing, and evaluation/rubric design for agent quality — and Bay Area/onsite fits geo. The Solutions Architect role is more technical-adjacent (deployment/config, not daily production code), so overall coding load is light-to-moderate.","Task brief labeled this 'Series B' but it is actually Series A — a smaller, earlier-stage, less-capitalized company than EliseAI. Solutions Architect leans technical; PM is the better-fit target. Headcount figures vary widely across sources.",https://venturebeat.com/ai/ema-raises-36m-to-build-universal-ai-employees-for-enterprises ; https://techcrunch.com/2024/03/05/ema-a-universal-ai-employee-emerges-from-stealth-with-25m/ ; https://tracxn.com/d/companies/ema/__ksb3jUKrtsxUjw6V-pJ_Daac843jAQUG62LqeRWEGJ0 ; https://getlatka.com/companies/ema.co ; https://kpmg.com/us/en/media/news/kpmg-investment-agentic-ai-startup-ema.html ; https://jobs.ashbyhq.com/ema
34.75,Sema4.ai,False,60,~50-70 (Hypepotamus reported ~50 in late 2025 with plans to double; LinkedIn shows similar range),medium,2023 (quietly created Nov 2023; publicly launched Jan 2024),Series A,~$55.5M total (a $30.5M round plus ~$25M extension),"Benchmark, Mayfield, Canvas Ventures/Canvas Prime, Snowflake Ventures, Rocketship VC, Cox Enterprises","Atlanta, GA",Hybrid HQ in Atlanta but hiring remote; both listed PM roles are Remote,"Enterprise AI agents / back-office knowledge-work automation (document- and data-heavy processes, incl. Office of the CFO)",somewhat-known,"Enterprise AI agent platform for automating document- and data-heavy back-office processes with auditable, deterministic outcomes.","Sema4.ai builds a platform for enterprises to create, run, and govern AI agents that automate multi-step, document-intensive workflows (e.g., finance/CFO operations) where accuracy and auditability matter. It is sold to large enterprises and was founded by veterans of Hortonworks, Cloudera, and Docker, incorporating the acquired open-source automation company Robocorp.",4,4,4,4,"Both openings are Product Manager roles (Document Intelligence; Enterprise AI Agents) that reward B2B customer discovery, domain writing, and evaluation/rubric design for defining 'good' agent output — a strong match. The 'Technical PM' framing is a mild coding-adjacency flag but does not require shipping production code; well-funded Series A with a veteran team keeps traction healthy.",'Technical Product Manager' title may skew more technical than the candidate wants; headcount doubling plans mean the number could rise but stays far below 500. Enterprise back-office domain is less D2C than the candidate's D2C strength.,https://sema4.ai/ ; https://hypepotamus.com/startup-news/ai-agents-sema4-atlanta-enterprise-automation/ ; https://www.crunchbase.com/organization/sema4-ai ; https://www.prnewswire.com/news-releases/sema4-ai-raises-30-5-million-to-bring-open-source-powered-ai-to-mission-critical-enterprise-work-302047158.html ; https://www.linkedin.com/company/sema4-ai
34.25,Tessera Labs,False,55,"~55 (PitchBook/aggregators, 2026)",medium,2023 (some sources say 2024),Series A,$60M Series A led by a16z (May 2026); aggregators cite ~$120M total raised to date,"Andreessen Horowitz (a16z, lead), Foundation Capital; founding team from Meta, Netflix, Apple, and SAP MaxAttention","Palo Alto / Silicon Valley, CA (Product Manager role posted in New York, NY)","PM role listed as New York, NY; company is Bay Area HQ — remote/hybrid likely but not clearly confirmed","Enterprise AI for ERP modernization (multi-agent, vendor-agnostic automation & governance)",somewhat-known,Vendor-agnostic multi-agent AI platform that automates and governs enterprise ERP modernization.,"Tessera builds a multi-agent AI platform that helps IT and transformation teams manage change, automation, and governance across ERP and connected enterprise systems (e.g., breaking the SAP change-order cycle). Buyers are large-enterprise IT, digital transformation, and ERP program teams.",4,4,3,5,"The Product Manager role fits a PM/research profile — product strategy, market analysis, use-case prioritization, and customer outcomes — and the enterprise/ERP domain rewards discovery and domain writing. But it's framed as a hands-on IC 'at the intersection of PM, data science, and engineering,' so it leans more technical than Tailor's forward-deployed role and may expect more data/technical fluency.","PM role is described as technically hands-on (data science / engineering adjacency), so less coding-light than ideal. Founding year and total-funding figures are inconsistent across sources ($60M Series A confirmed; $120M total is aggregator-reported). Role appears NYC-based; remote flexibility unconfirmed.",https://www.businesswire.com/news/home/20260506853624/en/Tessera-Labs-Raises-$60M-in-Funding-Led-by-Andreessen-Horowitz-to-Transform-ERP-Modernization ; https://jobs.ashbyhq.com/tessera-labs/ea05dfd6-92d7-4ccc-aa53-2f31a85928c5 ; https://www.tesseralabs.ai/about ; https://www.startuphub.ai/startups/tessera-labs ; https://erp.today/erp-modernization-ai-tessera-labs-funding ; https://pitchbook.com/profiles/company/903849-04
