name,category,tier,inScope,inWindow,fundingType,status,geo,hq,founded,founders,totalRaised,rounds,differentiation,confidence,redFlags,url,sources
BenchFlow,mixed,1-pureplay,True,True,vc,active,USA,"San Francisco, CA, USA",2024,Xiangyi Li (solo founder),"~$1M (seed, reported)","Seed round ~$1M (per aggregator, reported ~Jan 2025), backed by Y Combinator, Pear VC, Construct Capital, FAST by GETTYLAB, and angel Ankit Jain. Specific YC batch and exact close date not confirmed in primary sources.","Open-source 'environment lab' providing a universal framework to run agents against RL environments (SkillsBench, ClawsBench mock-workplace envs) plus a community Benchmark Hub, positioning environments as 'the new data' for agent training and evaluation.",medium,"Product straddles evals/benchmark-hub and RL environments (mixed); leans eval-heavy but explicitly ships RL environments and post-training infra, so in-scope. ~$1M seed figure and Jan 2025 date are aggregator-reported, not a primary announcement; YC batch label unconfirmed.",https://www.benchflow.ai,https://www.startuphub.ai/startups/benchflow-ai ; https://startupintros.com/orgs/benchflow ; https://github.com/benchflow-ai/benchflow ; https://github.com/benchflow-ai/awesome-evals
Bespoke Labs,mixed,1-pureplay,True,True,vc,active,USA,"Mountain View, CA (hint 'Santa Clara' approximate)",2024,"Mahesh Sathiamoorthy (co-founder/CEO, ex-Google DeepMind); Alexandros (Alex) Dimakis (co-founder, UC Berkeley/UT Austin professor)",$40M,"$40M total announced July 6, 2026, across two rounds: Seed led by 8VC (angels incl. Jeff Dean, Dheeraj Pandey/DevRev, Spiros Xanthos/Resolve AI) — earlier, ~2024/25 (the ~$7.25M figure in the brief was this seed); Series A led by Wing VC with Mayfield, The House Fund, Tristan Handy (dbt Labs) and Anthropic/OpenAI/Meta angels — 2026.","Pairs world-class data-curation research (OpenThoughts dataset, Bespoke Curator, Terminal-Bench) with best-in-class RL environments to train and verify reliable production agents.",high,"Brief's '~$7.25M seed / Santa Clara' hint is stale — company now at $40M total (seed+Series A) and HQ is Mountain View. Started as data-curation lab, so category is genuinely mixed (data + environments/verifiers), but core current product line is RL environments.",https://bespokelabs.ai,https://www.finsmes.com/2026/07/bespoke-labs-raises-40m-in-funding.html ; https://techfundingnews.com/backed-by-anthropic-openai-and-meta-insiders-bespoke-labs-raises-40m-can-better-environments-beat-bigger-models/ ; https://www.thesaasnews.com/news/bespoke-labs-raises-40m-series-a/ ; https://www.hpcwire.com/aiwire/2026/07/07/bespoke-labs-announces-40m-to-build-the-environments-that-train-reliable-agents/
Calaveras AI,mixed,1-pureplay,True,False,undisclosed,active,USA,"San Francisco, CA, USA",2024 (approx; unconfirmed),Not disclosed publicly (founders not found in Crunchbase/YC/LinkedIn snippets as of research date),Undisclosed / none confirmed,No funding round found. Company describes revenue from selling data to 4 of top-6 AI labs; no announced VC/accelerator round located in Crunchbase/PitchBook/Tracxn snippets.,"Supplies novel code-centric pretraining datasets (100B+ token code corpus) plus robustly-tested RL environments for coding/white-collar task capabilities, sold direct to frontier labs.",low,No named founders and no confirmed funding round found — company may be bootstrapped/revenue-funded or stealth on financing. inWindow set false because no venture/accelerator round could be verified; revisit if a round surfaces. Only aggregator/self-description snippets available (site 403s). Scope is genuine (pretraining data + coding RL environments) but sits partly in 'data' vs pure env/verifier.,https://calaveras.ai/,https://calaveras.ai/ ; https://www.startuphub.ai/startups/calaveras-ai ; https://builtin.com/company/calaveras-ai ; https://techcrunch.com/2025/09/21/silicon-valley-bets-big-on-environments-to-train-ai-agents/
Cekura (formerly Vocera),verifiers,adjacent-infra,False,True,vc,active,USA,"San Francisco, CA, USA",2024,"Shashij Gupta, Sidhant Kabra, Tarush Agarwal (IIT Bombay alumni)",~$2.4M,"Seed $2.4M led by Y Combinator (F24 batch), with Flex Capital, Hike Ventures, Pioneer Fund, Decacorn and angels (announced ~2024/2025).","Simulates thousands of persona-driven conversation scenarios to test and monitor voice/chat AI agents pre-launch and in production, targeting regulated verticals like healthcare and BFSI.",high,"Product is agent QA/testing/observability (simulated-user eval + production monitoring of deployed voice/chat agents), not RL environments/tasks/reward-models for training. Its simulation/verification stack is eval-side, not training-side, so marked inScope=false / adjacent-infra; a case could be made for verifier-adjacency (medium confidence on the scope call).",https://cekura.ai,https://www.cekura.ai/blogs/fundraise ; https://mlq.ai/news/ai-startup-cekura-secures-24-million-seed-funding-led-by-y-combinator/ ; https://www.ycombinator.com/companies/cekura-ai ; https://x.com/cekuraai
Centific,environments,2-incumbent-line,True,True,vc,active,USA,"Redmond / Seattle area, WA",2020,Venkat Rangapuram (CEO),$60M,"Series A: $60M, June 2025, led by Granite Asia (Jenny Lee). NVIDIA partner. Prior to funding it operated as a bootstrapped AI data-foundry/services business.","Launched 'RL Environments-as-a-Service' — configurable, industry-authentic simulated enterprises for training and evaluating enterprise AI agents against real institutional complexity.",high,"Query's 'Sanmina-linked' origin is NOT supported — Centific was carved out of Pactera's U.S. business (Pactera acquired by China Electronics Corp, 2020), not Sanmina. Founded-year varies by source (2018 vs 2020). Core business is a broad AI data foundry / services firm; RLEaaS is one product line, hence tier 2-incumbent-line.",https://www.centific.com,https://www.centific.com/blog/centific-launches-rl-environments-as-a-service-the-first-industry-authentic-training-infrastructure-for-enterprise-ai-agents ; https://fortune.com/asia/2025/06/25/centific-series-a-funding-venkat-rangapuram-granite-asia-jenny-lee/ ; https://www.geekwire.com/2025/centific-a-seattle-area-ai-services-startup-and-nvidia-partner-lands-60m/ ; https://pitchbook.com/profiles/company/433112-95
Chakra Labs,environments,1-pureplay,True,True,vc,active,USA,"Brooklyn, NY, USA",2024,"Alexander Fung (ex-Palantir, ex-Snap; UWaterloo CS) and Nirmal Krishnan (Johns Hopkins CS/ML)",~$10.1M,"Seed round ~$10.1M, reported Dec 2025 / announced late Jan 2026 (AlleyWatch funding report). Filing cited ~50 investors; disclosed backers include Castle Island Ventures, Collab+Currency, Hash3, Race Capital, and Solana Incubator. No single lead clearly identified. (Tracxn/PitchBook mislabel the stage as 'Series B'; Crunchbase lists it as Seed.)","Builds high-fidelity, deterministic computer-use RL environments (SPA/app clones) and human trajectory datasets — its Dojo suite brings frontier-lab-grade CUA training infrastructure to the broader research community.",medium,"Crypto/web3 origins: investor base is heavily crypto (Castle Island, Collab+Currency, Hash3, Solana Incubator), and Chakra originally positioned as a blockchain/'open data' web3 data company before pivoting to AI RL environments (Dojo) — the $10.1M may partly predate the RL-env pivot. Round stage is ambiguously reported (Seed vs 'Series B' across aggregators). Scope is now genuinely RL environments for computer-use agents, so inScope=true, but treat the crypto-to-AI pivot as a durability caveat.",https://www.chakra.dev,https://www.crunchbase.com/funding_round/chakra-ee82-seed--e92cc56a ; https://tracxn.com/d/companies/chakra/__4BmELRJpk-mzTNB6RrsTTasTL2cp076_xnNRf8mRyEI ; https://www.alleywatch.com/2026/01/the-alleywatch-startup-daily-funding-report-1-26-2026/ ; https://pitchbook.com/profiles/company/685217-89
Collinear AI,mixed,1-pureplay,True,True,vc,active,USA,"San Francisco, CA, USA",2023,"Nazneen Rajani (CEO; ex-Robustness Research Lead at Hugging Face, ex-Salesforce Research, PhD UT Austin, MIT TR35)",Undisclosed (seed; amount not public),"Seed round (undisclosed amount) with Engineering Capital among investors; other backers listed across profiles include 11.2 Capital, Khasm Labs, Firestreak Ventures, and Collinear Group. No round amount or valuation publicly disclosed; only aggregator (Crunchbase/PitchBook/Tracxn) investor lists found.","SimLab builds sandboxed, stateful enterprise RL environments (simulating tools like Jira, ServiceNow, Shopify, EMR, airline/hotel systems) that emit training-ready trajectories, reward signals and evals for long-horizon agentic models.",medium,"Founder is ex-HuggingFace research lead, NOT a HuggingFace co-founder (hint slightly misleading). Exact seed amount/date/valuation undisclosed — only aggregator investor lists confirm a raise; inWindow inferred from 2023 founding + seed-stage investor presence.",https://www.collinear.ai,https://www.crunchbase.com/organization/collinear-ai ; https://pitchbook.com/profiles/company/550057-87 ; https://www.collinear.ai/about-us ; https://www.technologyreview.com/innovator/nazneen-rajani/
Composio,environments,adjacent-infra,True,True,vc,active,USA / India,"San Francisco, CA, USA (with India engineering presence)",2023,"Soham Ganatra (CEO), Karan Vaidya (CTO) — Vaidya previously built integrations at Rubrik",~$29M,"Series A: $25M led by Lightspeed Venture Partners (July 2025), with SV Angel, Blitzscaling Ventures, Operator Partners, Yohei Nakajima's Agent Fund, and existing investors Elevation Capital & Together Fund; angels incl. Guillermo Rauch (Vercel), Dharmesh Shah (HubSpot), Gokul Rajaram, Soham Mazumdar (Rubrik). Seed: ~$4M co-led by Together Fund and Elevation Capital (2024). Total ~$29M.",Positions as the 'learning layer' for agentic AI — providing tool-calling infrastructure (200+ app integrations) plus RL-style environments and skills so agents improve from experience at tool use.,high,"Origin/core product is agent tool-calling/integration infrastructure (MCP-style); the RL-environments/learning angle is a 2025 repositioning. In scope because they explicitly build RL environments/tasks for tool-use learning, but tiered adjacent-infra rather than a pure env/task/verifier vendor. 'Soham' ambiguity: co-founder is Soham Ganatra, not Soham Mazumdar (Rubrik) who is only an angel.",https://composio.dev,https://www.finsmes.com/2025/07/composio-raises-25m-in-series-a-funding.html ; https://www.prnewswire.com/news-releases/composio-raises-29m-to-solve-ais-learning-problem-building-skills-that-actually-improve-over-time-302510684.html ; https://www.together.fund/perspectives/insights/investing-in-composio-building-the-learning-layer-for-agentic-ai ; https://tracxn.com/d/companies/composio/__S4CqdyIkWZd1BSTOwnjS82Hz0ppMkmDoAP_j4_oMBfk
Coval,environments,adjacent-infra,True,True,vc,active,US,"San Francisco, CA",2024 (Y Combinator S24),"Brooke Hopkins (founder/CEO), ex-Waymo simulation engineer",~$31M,"Series A $28M led by Norwest (Base10 Partners, Twilio Ventures, Y Combinator), announced 24 Jun 2026. Seed $3.3M from MaC Venture Capital, Y Combinator and Pioneer Fund (2024). Total ~$31M.","Applies autonomous-vehicle-style simulation (millions of simulated test runs) to stress-test, evaluate and monitor voice and chat AI agents for reliability and safety before production.",high,"Task hint said seed was '~$3.3M CRV' but the seed was actually led by MaC Venture Capital (with YC and Pioneer Fund) — no CRV involvement found. Product is agent simulation/evaluation/observability (testing infra), not RL-training environments or reward models per se — counts as environments/eval-adjacent, hence adjacent-infra. Name collides with other 'Coval' entities.",https://coval.dev,https://www.prnewswire.com/news-releases/coval-raises-28-million-series-a-to-define-safety-and-reliability-for-autonomous-voice-agents-302808740.html ; https://www.coval.ai/blog/coval-series-a/ ; https://www.coval.ai/blog/coval-raises-3-3-to-to-bring-self-driving-car-simulation-to-ai-voice-chat-agents ; https://www.ycombinator.com/companies/coval
Cua (trycua),environments,adjacent-infra,False,True,accelerator-only,active,US,"San Francisco, US (incorporated Dover, DE)",2025,"Francesco Bonacci, Alessandro Puppo",$500K,"Seed: $500K, Jun 2025 (Y Combinator X25 / Spring 2025 batch — amount consistent with YC's standard deal). No separately-led priced round found.","Open-source 'Docker for computer-use agents' — cloud/self-hosted sandboxes across macOS/Windows/Linux/Android with warm pools for RL loops, evals, data generation and batch rollouts.",medium,"Agent-sandbox/container infrastructure, not a core RL-environment/task/verifier product (though it ships benchmarks and is used for RL/eval), hence adjacent-infra and inScope=false. Funding figure is aggregator-sourced ($500K ≈ YC standard); no confirmation of an outside-led seed.",https://www.trycua.com,https://www.ycombinator.com/companies/cua ; https://tracxn.com/d/companies/cua-ai ; https://github.com/trycua/cua ; https://cua.ai/blog/introducing-cua-cloud-containers
Cyberdesk,environments,adjacent-infra,False,True,accelerator-only,active,United States,"San Francisco, CA",2025,"Mahmoud Al-Madi (CEO), Alan Duong (CTO; ex-NASA Launch Control, ex-founding engineer at a PearX-backed AI startup, Rice CS dropout)",~$500K,Y Combinator Summer 2025 (S25) batch; ~$500K (standard YC deal). No separate priced venture round disclosed. Launched publicly mid-July 2025.,"A self-hostable fleet of virtual desktops that lets developers spin up and control hundreds of Windows sandboxes in a few lines of code to build and run production computer-use agents on legacy apps (EHRs, ERPs).",high,"Scope=false: Cyberdesk is a virtual-desktop sandbox / computer-use-agent infrastructure and production RPA-style automation product, not an RL-environment, task-data, or verifier/reward-model offering for training. Classified adjacent-infra (agent sandbox in the ecosystem) — the sandboxes could host RL rollouts but that is not their product. $500K figure is the standard YC deal (accelerator), not an external VC round.",https://cyberdesk.io/,https://www.ycombinator.com/companies/cyberdesk ; https://news.ycombinator.com/item?id=44901528 ; https://www.cyberdesk.io/ ; https://tracxn.com/d/companies/cyberdesk/__8ytWvRB0fE5tOHagFOiXZbZp7NSZ0gqEdSSOaht1IoQ
Datacurve,mixed,1-pureplay,True,True,vc,active,United States,"San Francisco, CA",2023,Serena Ge and Charley Lee,~$17.7M,"Series A: $15M, announced Oct 2025, led by Chemistry (Mark Goldberg's ~$350M early-stage firm), with angels from top AI labs. Prior seed: ~$2.7M. Total funding reported ~$17.7M. YC W24 batch (accelerator).","An expert-curated coding data foundry (gamified 'Shipd' bounty platform with 14,000+ vetted programmers, paying for outputs not hours) supplying frontier labs with SFT datasets, RLHF pipelines, repo-level RL environments, a 'Private Repo Taskbench', and long-horizon coding benchmarks.",high,"In scope as a coding-focused data/tasks + benchmark + repo-level RL-environment vendor; positioned as a Scale AI challenger for premium coding data. Classed 1-pureplay (data/eval foundry that spans tasks, environments and verifiers/benchmarks). Founded year (~2023) inferred from YC W24; confirm exact incorporation date if precision needed.",https://datacurve.ai,https://www.maginative.com/article/datacurve-raises-15m-series-a-led-by-chemistry/ ; https://techcrunch.com/2025/10/09/datacurve-raises-15-million-to-take-on-scaleai ; https://sacra.com/c/datacurve/ ; https://www.chemistry.vc/post/staying-ahead-of-the-curve
Daytona,environments,adjacent-infra,False,True,vc,active,US / Europe,"New York City, US (Croatia/Zagreb roots)",2023,"Ivan Burazin (CEO), Vedran Jukic, Goran Draganic",~$29M,"Series A: $24M, Feb 2026, led by FirstMark Capital, w/ Pace Capital and existing investors Upfront Ventures, E2VC, Darkmode, Datadog, Figma Ventures + angels (Gorkem Yurtseven/Fal, Theo Browne/T3, Eno Reyes/Factory, Nikita Shamgunov/Neon). Seed: ~$5M, Jun 25 2024, Upfront Ventures + 500 Emerging Europe.","Provides programmatic, stateful, millisecond-launch sandboxes ('composable computers') so AI agents can execute code and run RL/eval workloads at massive scale.",high,"Sandbox/compute infrastructure provider, not a core RL-environment/task/verifier product — RL is a use case its sandboxes serve, hence adjacent-infra and inScope=false. Originally a dev-environment-management (Codeanywhere lineage) company that pivoted to agent infra in 2023-24.",https://www.daytona.io,https://www.prnewswire.com/news-releases/daytona-raises-24m-series-a-to-give-every-agent-a-computer-302680740.html ; https://www.finsmes.com/2026/02/daytona-raises-24m-series-a-funding.html ; https://www.alleywatch.com/2026/02/daytona-ai-agent-infrastructure-sandbox-computing-developer-tools-ivan-burazin/ ; https://tracxn.com/d/companies/daytona
Deeptune,environments,1-pureplay,True,True,vc,acquired,USA,"New York, NY, USA",2025,Tim Lupo (founder & CEO),$43M (pre-acquisition),"Series A: $43M, closed/announced March 19 2026, led by Andreessen Horowitz (a16z), with 776, Abstract Ventures, Inspired Capital, and angels including OpenAI researcher Noam Brown and Mercor CEO Brendan Foody. Acquired by Mercor July 9 2026 (deal value undisclosed).","Builds high-fidelity RL 'training gyms' that simulate real professional workflows (accounting, customer support) across apps like Slack and Salesforce so computer-use/code agents can practice multi-step tasks and receive measurable rewards.",high,Acquired by Mercor July 2026 (~3 months after Series A); now a line within Mercor rather than an independent company. Full co-founder list beyond CEO Tim Lupo not clearly disclosed in public sources.,https://deeptune.com,https://siliconangle.com/2026/03/19/deeptune-raises-43m-accelerate-ai-learning-virtual-training-gyms/ ; https://finance.yahoo.com/sectors/technology/articles/exclusive-andreessen-horowitz-backs-deeptune-120000793.html ; https://fortune.com/2026/07/09/ai-unicorn-mercor-acquires-deeptune-brendan-foody-investor-a16z-openai-anthropic/ ; https://www.mercor.com/blog/mercor-to-acquire-deeptune/
