company,remoteStatus,confidence,headcount,over500,remoteRoleCount,remoteRoleTitles,workModelMix,vertical,exampleUrl,note
Bespoke Labs,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons2/unk0,,https://jobs.ashbyhq.com/bespokelabs/292f1389-5308-4c4f-ba50-379f8d3c5881,
Braintrust,Yes,from-role-data,,,2,Customer Solutions Architect; Solutions Engineer,rem2/hyb0/ons0/unk0,,https://jobs.ashbyhq.com/Braintrust/b2131234-080c-4c5b-85e1-56e3edafa4e3,
Caylent,Yes,verified,897,Y,1,Agentic Architect,rem1/hyb0/ons0/unk0,"AWS cloud consulting / professional services (cloud-native, data/ML, GenAI on AWS)",https://job-boards.greenhouse.io/caylent/jobs/5969995004,Remote-first — Agentic Architect posted as fully Remote
cBEYONData / SMX (ESS),No (onsite/hybrid),verified,,,0,,rem0/hyb0/ons0/unk1,,https://job-boards.greenhouse.io/ess/jobs/7564690003,
Clay,Maybe (hybrid),from-role-data,,,0,,rem0/hyb2/ons0/unk0,,https://jobs.ashbyhq.com/claylabs/232ab8c1-36d7-4114-91c1-0f9c9e4064bc,
Cohere,Maybe (hybrid),from-role-data,,,0,,rem0/hyb1/ons0/unk3,,https://jobs.ashbyhq.com/cohere/eb58bff6-645c-4434-9893-b34586d69be7,
Comet,Yes,from-role-data,,,1,Product Manager - Opik,rem1/hyb0/ons0/unk0,,https://jobs.scalevp.com/companies/comet-ml-2/jobs/60864757-product-manager-opik,
Context,No (onsite/hybrid),verified,30,N,0,,rem0/hyb0/ons0/unk1,Horizontal productivity / AI-native office suite,https://jobs.ashbyhq.com/context/3d21cd47-c75f-4f40-abcc-d17a6094a926,SF-based; Deployment Strategist role likely onsite/hybrid in SF
Cresta,Yes,from-role-data,,,4,"Associate Forward Deployed Product Manager; Forward Deployed Product Manager - AI Agent (EMEA); Forward Deployed Product Manager, AI Agent; Forward Deployed Product Manager, AI Agent (EMEA)",rem4/hyb0/ons0/unk1,,https://job-boards.greenhouse.io/cresta/jobs/4738837008,
Crew AI,Yes,verified,,,2,AI Deployment Engineer; Forward Deployed Engineer,rem2/hyb0/ons0/unk0,,https://apply.workable.com/crewai/j/96051E9EDE/,
Datacurve,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons1/unk0,,https://jobs.ashbyhq.com/datacurve/ce95a1ce-957e-4482-805e-964c4690ba9a,
David AI,No (onsite/hybrid),verified,47,N,0,,rem0/hyb0/ons1/unk0,Audio/voice AI training data (data infrastructure for AI labs),https://www.ycombinator.com/companies/david-ai/jobs/wXlgOpO-deployment-strategist,Onsite (SF) for this Deployment Strategist role
Dealops,Yes,verified,17,N,0,,rem0/hyb0/ons0/unk1,B2B pricing & CPQ / revenue operations (GTM finance),https://jobs.ashbyhq.com/dealops/9b3464bd-9cad-4e66-8534-87d2e5fc79c5,Remote-friendly / multiple locations (role listed as remote)
Decagon,Yes,from-role-data,,,1,"Strategic Solutions Engineer, West",rem1/hyb0/ons9/unk0,,https://jobs.ashbyhq.com/decagon/78745829-74ee-41cb-836c-480ca7bf9edc,
Deloitte,Maybe (hybrid),from-role-data,,,0,,rem0/hyb1/ons0/unk0,,https://apply.deloitte.com/en_US/careers/JobDetail/Mgr-Product-Management-GenAI-AI-Product-Experience/324356,
Deloitte (USI),Maybe (hybrid),from-role-data,,,0,,rem0/hyb1/ons0/unk0,,https://usijobs.deloitte.com/en_US/careersUSI/JobDetail/USI-EH26-Product-Engineering-Leadership-Product-Manager-AI-ML-Manager/301490,
Distyl AI,Maybe (hybrid),from-role-data,,,0,,rem0/hyb2/ons0/unk1,,https://jobs.ashbyhq.com/Distyl/966ec457-55c4-44a2-a4c4-803fcbba6cc5,
EliseAI,No (onsite/hybrid),verified,599,Y,0,,rem0/hyb0/ons0/unk1,"Vertical AI agents for housing/property management and healthcare (leasing, resident/patient communication, workflow automation)",https://jobs.ashbyhq.com/eliseai/c7e38843-3eb7-404a-bb42-283acfb63040,"Fully in-office, 4-5 days/week onsite in NYC (this role is NYC-based; also lists a Toronto posting)"
Ema,Yes,verified-live,180,N,1,"Solutions Architect, NA (Remote US)",rem0/hyb0/ons1/unk1,"Horizontal enterprise agentic AI ('Universal AI Employee') — no-code AI agents across support, sales, employee experience, and other functions",https://jobs.ashbyhq.com/ema/8119f707-705f-43f6-9c61-6c5bc056f389,Solutions Architect / Forward-Deployed SA (North America) is Remote-US — a fit role; the PM role is hybrid (SF 3 days/wk)
EvenUp,Yes,verified,835,Y,6,"AI Product Manager; Manager, Enterprise Platform Delivery; Product Manager - AI Orchestration & Agentic Workflows; Product Manager, Launch Experience; Senior Product Solutions Manager; Technical Progr",rem6/hyb0/ons0/unk0,Legal tech / personal injury law AI,https://jobs.ashbyhq.com/evenup/2652e322-2d07-4727-8c4d-9d5e3735e844,"Hybrid — formerly fully remote; now ~3 days/week in hub offices for many teams, though the listed AI PM / orchestration / TPM roles are tagged Remote"
Factory.ai,No (onsite/hybrid),verified,120,N,0,,rem0/hyb0/ons1/unk0,AI coding agents / enterprise software development tooling,https://factory.ai/careers/deployment-strategist,Onsite/in-person SF (Deployment Strategist role listed SF/onsite; known for intense in-office culture)
FERMÀT,No (onsite/hybrid),verified-live,,,0,,rem0/hyb1/ons0/unk0,,https://job-boards.greenhouse.io/fermat/jobs/4179633009,"FDPM is SF onsite; SF/NYC/Bangalore office-hub model, no remote FTE role found"
Fireworks AI,Maybe (hybrid),from-role-data,,,0,,rem0/hyb2/ons0/unk0,,https://job-boards.greenhouse.io/fireworksai/jobs/4008626009,
Forerunner,Yes,verified,80,N,0,,rem0/hyb0/ons0/unk1,GovTech / geospatial intelligence / climate resilience & flood-risk management for local governments and regulated industries,https://job-boards.greenhouse.io/forerunner/jobs/4996982007,Remote (Deployment Strategist role listed as Remote)
Forethought,Maybe (hybrid),from-role-data,,,0,,rem0/hyb1/ons0/unk2,,https://zendesk.wd1.myworkdayjobs.com/en-US/zendesk/job/Senior-Product-Manager---AI-Agents--Forethought-_R34790,
Forge,Yes,verified,,,0,,rem0/hyb0/ons0/unk1,,https://jobs.ashbyhq.com/forge/c1724ef7-8f2b-40f1-8db6-965104cf8815,
Fractional AI,No (onsite/hybrid),verified,82,N,0,,rem0/hyb5/ons0/unk0,Applied AI / forward-deployed AI engineering services for mid-to-large enterprises,https://jobs.ashbyhq.com/fractional-ai/d93607e0-3e38-4a6f-a05e-f293d3f3bdf4,Roles based SF / NY; hybrid
Freeplay,Maybe (hybrid),from-role-data,,,0,,rem0/hyb1/ons0/unk0,,https://jobs.ashbyhq.com/freeplay/63007693-a8f3-4843-8104-f3626f56df1f,
Glean,Yes,from-role-data,,,1,Forward Deployed Product Manager,rem1/hyb0/ons0/unk2,,https://job-boards.greenhouse.io/gleanwork/jobs/4659409005,
Google DeepMind,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons3/unk0,,https://www.google.com/about/careers/applications/jobs/results/130228712753767110-product-manager/,
Halluminate,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons1/unk0,,https://www.workatastartup.com/companies/halluminate,
Handshake AI,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons5/unk1,,https://joinhandshake.com/careers/job/?gh_jid=6601812,
HappyRobot,Yes,verified,152,N,0,,rem0/hyb0/ons0/unk1,"Logistics / supply chain AI agents (voice, email, enterprise workflow automation)",https://jobs.ashbyhq.com/happyrobot.ai/4061af5c-c35d-4f59-851d-52854facfdb0,SF-based; Deployment Strategist posted with both onsite and remote options (multiple locations)
Harvey,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb2/ons5/unk0,,https://www.harvey.ai/company/careers/e5272fbe-4431-4841-bf00-b9f59812b82a,
Hebbia,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons4/unk0,,https://jobs.ashbyhq.com/hebbia-ai/b35852eb-97ac-491a-b375-91fd13d0b7b3,
Hightouch,Yes,from-role-data,,,2,"Lead Product Manager, Agentic Personalization; Product Lead, Agentic Ads Platform",rem2/hyb0/ons0/unk0,,https://job-boards.greenhouse.io/hightouch/jobs/5834919004,
HumanSignal,Yes,from-role-data,,,1,Strategic Projects Lead,rem1/hyb0/ons0/unk0,,https://job-boards.greenhouse.io/humansignal/jobs/6007739004,
Invisible Technologies,Yes,from-role-data,,,1,"Senior Product Manager, Marketplace",rem1/hyb1/ons0/unk2,,https://boards.eu.greenhouse.io/invisibletech/jobs/4123844101,
Labelbox,Maybe (hybrid),from-role-data,,,0,,rem0/hyb4/ons0/unk0,,https://job-boards.greenhouse.io/labelbox/jobs/5158994007,
LangChain,Maybe (hybrid),from-role-data,,,0,,rem0/hyb1/ons0/unk1,,https://jobs.ashbyhq.com/langchain/27af5f96-b287-4bcc-8679-f96686dc7c8d,
LMArena (Arena Intelligence),No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons3/unk0,,https://jobs.ashbyhq.com/lmarena/414bffdc-2a22-4830-98d4-df152f9c7677,
Lorikeet,Yes,verified,89,N,0,,rem0/hyb0/ons0/unk1,"AI customer support / CX automation for complex, regulated businesses (fintech, healthtech, marketplaces, delivery)",https://jobs.ashbyhq.com/lorikeet/86236bbe-2a1a-4f2a-8f33-4d2a697dc19d,"Globally distributed remote team with Australian roots; Forward Deployed PM posted as remote (US-eligible), offices in Sydney and SF"
Lyzr,No (onsite/hybrid),verified,170,N,0,,rem0/hyb0/ons2/unk0,"Horizontal enterprise AI-agent infrastructure (control plane, governance, reliability layer for production agents)",https://careers.lyzr.ai/jobs/572370-associate-product-manager,"Distributed US + India; the specific open role (Associate PM, Applied AI) is Bengaluru onsite"
McKinsey QuantumBlack,Maybe (hybrid),from-role-data,,,0,,rem0/hyb1/ons0/unk0,,https://uk.linkedin.com/jobs/view/product-manager-%E2%80%93-applications-at-quantumblack-ai-by-mckinsey-141554890,
Mechanize,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons1/unk0,,https://jobs.ashbyhq.com/mechanize,
Mercor,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons2/unk0,,https://jobs.ashbyhq.com/mercor/b0f22275-9ec5-4725-93f9-ea0104cc1272,
Mistral AI,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb1/ons1/unk1,,https://jobs.lever.co/mistral/0b476d3a-5f0c-4dda-9a5e-bd5ed8515328,
Northslope Technologies,No (onsite/hybrid),verified,100,N,0,,rem0/hyb0/ons0/unk1,"Applied AI / forward-deployed enterprise software built natively on Palantir Foundry & AIP (defense/national security, healthcare, energy, manufacturing, financial services, supply chain)",https://jobs.ashbyhq.com/northslope-technologies/95920eaa-16bd-4b91-a18c-a5d760a93068,Forward-deployed model with hub offices and on-site/customer deployments; Deployment Strategist listed for multiple locations (NYC/Denver/London/UK) - travel- and onsite-oriented rather than fully remote
Notion,Maybe (hybrid),from-role-data,,,0,,rem0/hyb2/ons0/unk0,,https://builtin.com/job/product-manager-ai-products/3917400,
Observe.AI,Yes,from-role-data,,,2,Implementation Manager; Senior Implementation Manager,rem2/hyb0/ons0/unk0,,https://www.linkedin.com/jobs/view/senior-implementation-manager-at-observe-ai-4146785830,
Onebrief,Yes,verified,345,N,0,,rem0/hyb0/ons0/unk1,Defense tech / military operational planning software,https://jobs.ashbyhq.com/onebrief/f63e0d53-96e6-47f2-aae1-d39b2a19171b,Remote-friendly / distributed; the Staff PM Applied AI role is listed Remote
OpenAI,Maybe (hybrid),from-role-data,,,0,,rem0/hyb7/ons0/unk1,,https://openai.com/careers/forward-deployed-engineer-(fde)-sf-san-francisco/,
OpenEvidence,Yes,verified,130,N,1,Senior PM - Consumer AI,rem1/hyb0/ons0/unk1,Healthcare AI / clinical decision support for physicians,https://jobs.ashbyhq.com/openevidence,Hybrid at HQ; Senior PM Consumer AI role listed Remote
Palantir,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons1/unk0,,https://jobs.lever.co/palantir/e0ab8226-b928-4e3a-bf87-08fe7b1ea595,
Pallet,Yes*,verified-live,80,N,1,Enterprise Sales Engineer (Remote),rem0/hyb0/ons0/unk1,Logistics / supply chain AI automation (agentic back-office workforce for freight brokers/carriers),https://job-boards.greenhouse.io/pallet/jobs/5072889007,"Hires remote FTE for SELECT roles only (e.g. Enterprise Sales Engineer, Remote); the fit-relevant Deployment Strategist is ONSITE NYC/SF 5 days/wk"
Paradigm,No (onsite/hybrid),verified-live,12,N,0,,rem0/hyb0/ons0/unk1,Horizontal productivity / agentic research (AI-native spreadsheet with an agent in every cell),https://jobs.ashbyhq.com/paradigmai/228586db-48a4-495e-93e3-5d4eeedc0b56,5 days/week in-person in SF office; all roles onsite
Pareto.AI,Unknown,from-role-data,,,0,,rem0/hyb0/ons0/unk1,,https://jobs.ashbyhq.com/pareto-ai/ea19be9c-12b5-4aae-97c6-5a9b22a1f414,
Patronus AI,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons2/unk0,,https://ats.rippling.com/patronus-ai-jobs/jobs/5d5e0ca1-45b6-42a1-a053-de9b2af4f986,
Percepta,No (onsite/hybrid),verified,30,N,0,,rem0/hyb3/ons3/unk0,"Applied AI / enterprise AI transformation (healthcare, manufacturing, energy, financial services, government)",https://jobs.ashbyhq.com/percepta/8059a187-91f9-43a4-b85f-5253d8e3fc8e,Primarily NYC onsite/hybrid (also a European location); heavily forward-deployed at enterprise customer sites
Peregrine Technologies,No (onsite/hybrid),verified,440,N,0,,rem0/hyb0/ons0/unk1,Public safety / law enforcement / government data platform (GovTech),https://job-boards.greenhouse.io/peregrinetechnologies/jobs/4003570005,Deployment Strategists deploy on-site with customer agencies across multiple US locations; company is field/customer-deployment oriented rather than fully remote
Perplexity,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb1/ons1/unk0,,https://jobs.ashbyhq.com/Perplexity/aa511ea8-96e3-42ba-b28f-5e222170bcee,
Prime Intellect,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons1/unk0,,https://jobs.ashbyhq.com/PrimeIntellect/eb757c35-2741-4eb5-8474-00c4ce1b1cd0,
Profound,No (onsite/hybrid),verified-live,180,N,0,,rem0/hyb0/ons0/unk1,AI marketing / martech — Answer Engine Optimization (AEO) and AI brand visibility,https://jobs.ashbyhq.com/Profound/e43062d5-1657-4066-a3cc-2e3315693b28,All PM roles on-site NYC (Union Square); no remote FTE
Prosper AI,No (onsite/hybrid),verified-live,50,N,0,,rem0/hyb0/ons0/unk1,"Healthcare operations — AI voice/phone agents for patient access, scheduling, benefit verification, prior authorization, and billing",https://jobs.ashbyhq.com/prosper-ai/7ad5dfff-0dd8-4e05-99ea-716cac730b30,AI PM is onsite in NY or Barcelona; no remote FTE roles
Ramp,Maybe (hybrid),from-role-data,,,0,,rem0/hyb2/ons0/unk0,,https://jobs.ashbyhq.com/ramp/9972df9e-4133-4e2c-9305-49c285b76506,
Redox,Yes,verified,190,N,1,Senior Product Manager II – AI Platform & Agentic Experience,rem1/hyb0/ons0/unk0,Healthcare data interoperability / integration platform (health tech infrastructure),https://jobs.lever.co/redoxengine/fac461a3-db8a-4580-a8ba-36be4f977aec,Remote-friendly; this role listed Remote
Retool,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons1/unk0,,https://retool.com/careers/product-manager-apps--product--san-francisco-united-states,
Runlayer,Yes,verified,20,N,0,,rem0/hyb0/ons0/unk1,AI agent / MCP (Model Context Protocol) security and infrastructure,https://jobs.ashbyhq.com/runlayer/35fbc5a4-8475-4f46-ba91-2736521caf6f,Remote (Founding PM roles listed fully remote)
Salesforce,Unknown,from-role-data,,,0,,rem0/hyb0/ons0/unk1,,https://careers.salesforce.com/en/jobs/jr339744/forward-deployed-product-manager/,
Scale AI,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb2/ons3/unk0,,https://scale.com/careers/4699458005,
Sema4.ai,Yes,verified,60,N,3,AI Agent Solution Engineer; Senior Product Manager - Document Intelligence; Technical Product Manager - Enterprise AI Agents,rem3/hyb1/ons0/unk0,"Enterprise AI agents / back-office knowledge-work automation (document- and data-heavy processes, incl. Office of the CFO)",https://jobs.sema4.ai/jobs,Hybrid HQ in Atlanta but hiring remote; both listed PM roles are Remote
Siena AI,Yes,verified,45,N,0,,rem0/hyb0/ons0/unk1,Autonomous AI customer service for e-commerce / D2C (conversational commerce),https://jobs.ashbyhq.com/siena/bece1b22-9932-4621-ba86-4c5352344cf2,Remote-first; the Forward Deployed PM role is listed Remote
Sierra,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons9/unk0,,https://jobs.ashbyhq.com/Sierra/758beaca-db59-4e46-9867-7a93989735a7,
Snorkel AI,Maybe (hybrid),from-role-data,,,0,,rem0/hyb4/ons0/unk0,,https://job-boards.greenhouse.io/snorkelai/jobs/5775004004,
Surge AI,Yes,from-role-data,,,5,Forward Deployed Researcher; Product Operations Manager; Program Manager; Strategic Product Manager; Strategic Projects Lead,rem5/hyb0/ons0/unk0,,https://surgehq.ai/careers/product-operations-manager,
Synthesia,Maybe (hybrid),from-role-data,,,0,,rem0/hyb1/ons0/unk0,,https://jobs.ashbyhq.com/synthesia/4358c197-7d4a-45eb-8dd6-4a5c96999534,
Tailor,Yes,verified,50,N,1,Forward-Deployed Product Manager (FDPM),rem1/hyb0/ons0/unk0,Composable / 'headless' ERP with AI-agent access (enterprise back-office software),https://jobs.ashbyhq.com/tailor/b69e751a-d3ea-426f-8bd7-962116162534,This FDPM role is explicitly US Remote; company is distributed
Tessera Labs,Yes,verified-live,55,N,1,"Forward-Deployed Engineer, Pre-Sales (US Remote)",rem0/hyb0/ons0/unk1,"Enterprise AI for ERP modernization (multi-agent, vendor-agnostic automation & governance)",https://jobs.ashbyhq.com/tessera-labs/ea05dfd6-92d7-4ccc-aa53-2f31a85928c5,Forward-Deployed Engineer (Pre-Sales) is US-Remote; target PM role is hybrid (San Jose HQ / NYC / SF)
Tribe AI,Yes,verified,90,N,4,Delivery Lead (Project/Program); Forward Deployed Product Manager Lead; Forward Deployed Product Manager Lead (Senior); Senior Forward Deployed Product Manager,rem4/hyb0/ons0/unk0,Horizontal AI consulting / forward-deployed AI services (AI-native professional services),https://www.tribe.ai/job-postings/lead-product-manager-forward-deployed,Remote-first (all three target roles listed as Remote; forward-deployed roles embed on-site at client accounts ~80% of the time)
Turing,Yes,from-role-data,,,3,Delivery Manager - Machine Learning - US; Principal Product Manager; Product Manager – Asset Management & AI Solutions,rem3/hyb0/ons0/unk0,,https://careers.turing.com/job/5645227004,
Vals AI,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons1/unk0,,https://jobs.8vc.com/companies/vals-ai-2-c4799f3b-19ad-4871-b688-c59c13ca2887/jobs/47790379-head-of-operations,
Vanta,Maybe (hybrid),from-role-data,,,0,,rem0/hyb1/ons0/unk1,,https://jobs.ashbyhq.com/vanta/3bfe392a-898f-4fac-afb5-9f0d73964c73,
Writer,Yes,from-role-data,,,1,AI Deployment Engineer (East),rem1/hyb1/ons0/unk0,,https://jobs.ashbyhq.com/WRITER/e86dd425-0711-4a28-af87-355f4a83b7bc,
xAI,No (onsite/hybrid),from-role-data,,,0,,rem0/hyb0/ons1/unk0,,https://job-boards.greenhouse.io/xai/jobs/4940146007,
Zapier,Yes,from-role-data,,,3,"Lead Product Manager, AI Capabilities; Product Lead, AI Agents; Sr. Product Manager - Chat & Knowledge",rem3/hyb0/ons0/unk0,,https://jobs.ashbyhq.com/zapier/3f2bec4c-ac50-46a1-9a5d-2b84fdc4e34a,
