company,title,titleFamily,location,workModel,primaryCity,seniority,comp,confidence,fitNote,url
Writer,Solutions Architect (Pre-Sales),forward-deployed,New York City (Hybrid),hybrid,New York,Senior IC,,likely-live,Designs and implements AI solutions for Fortune 500 clients as trusted advisor - solutions/deployment family; customer discovery heavy.,https://jobs.ashbyhq.com/writer/f185ea96-e519-47fa-aeeb-97682e8968e5
Ema,Product Manager,product,Not specified (US),unknown,Multiple,Mid-Senior IC,,likely-live,Owns product strategy/roadmap based on market trends and customer needs - direct PM + product-research fit.,https://jobs.ashbyhq.com/ema/8119f707-705f-43f6-9c61-6c5bc056f389
Ema,Solutions Architect (North America),forward-deployed,"San Francisco, CA",onsite,San Francisco,Senior IC,,likely-live,"Translates customer needs into deployable AI solutions; solutions/deployment family. Note: asks 8+ yrs technical pre-sales, some coding-adjacent depth.",https://jobs.ashbyhq.com/ema/aefe11bd-3e23-401b-a08b-b75729a3c3e4
Forethought,"Senior Product Manager - AI Agents (Forethought, now Zendesk)",product,"San Francisco, CA (Hybrid)",hybrid,San Francisco,Senior IC,"$182,000-$274,000",likely-live,"Owns AI-agent reasoning engine, authoring tools, multi-channel infra - AI PM role; strong product + eval/rubric-adjacent fit.",https://zendesk.wd1.myworkdayjobs.com/en-US/zendesk/job/Senior-Product-Manager---AI-Agents--Forethought-_R34790
Forethought,Lead Product Manager,product,"Not specified (Forethought, SF-based)",unknown,San Francisco,Lead IC,,likely-live,"Lead PM on Forethought's own greenhouse board; product-management core. Lead-level IC, within scope.",https://job-boards.greenhouse.io/forethought/jobs/5583396004
Forethought,Customer Success Operations Manager,delivery-program,"Not specified (Forethought, SF-based)",unknown,San Francisco,Mid-Senior IC,,likely-live,Customer/ops-facing program role - fits program/ops management and customer-solutions family.,https://job-boards.greenhouse.io/forethought/jobs/5646993004
Observe.AI,Senior Implementation Manager,delivery-program,United States (Remote),remote,Remote,Senior IC,,likely-live,"Owns customer onboarding, training, project timelines and delivery - delivery/implementation family, program-management fit.",https://www.linkedin.com/jobs/view/senior-implementation-manager-at-observe-ai-4146785830
Observe.AI,Implementation Manager,delivery-program,United States (Remote),remote,Remote,Mid IC,"$100,000-$110,000",likely-live,"Manages onboarding, software training, project timelines for successful deployment - delivery/program fit; non-coding.",https://www.remoterocketship.com/company/observe-ai-2/jobs/implementation-manager-united-states-remote/
Crew AI,Forward Deployed Engineer,forward-deployed,Remote,remote,Remote,Mid-Senior IC,,likely-live,Customer-facing FDE bridging AI platform to client needs via workshops and deployments. Note: 'engineer' title likely expects meaningful coding - lighter fit for non-SWE profile.,https://apply.workable.com/crewai/j/96051E9EDE/
Crew AI,AI Deployment Engineer,forward-deployed,Remote (Spain / EU noted on one listing),remote,Remote,Mid-Senior IC,,likely-live,Post-sales role turning signed deals into production success; deployment/customer family. Note: technical/coding-leaning.,https://apply.workable.com/crewai/j/44A6D0E330
Lyzr,Associate Product Manager (Applied AI),product,"Bengaluru, India",onsite,Bengaluru,Associate / Entry-Mid IC,,likely-live,"APM on agentic AI enterprise product, works with PM/eng/design/customer teams. Note: pitched at 0-1 yrs, junior for a mid-Senior candidate; India-based.",https://careers.lyzr.ai/jobs/572370-associate-product-manager
Lyzr,Solution Consultant / Business Analyst,delivery-program,"Bengaluru, India",onsite,Bengaluru,Mid IC,,uncertain,Customer-facing solutioning/BA role; fits customer-solutions/delivery family. Exact posting URL not isolated - listed on careers page; India-based.,https://careers.lyzr.ai/jobs
OpenAI,Forward Deployed Engineer (FDE) - SF,forward-deployed,"San Francisco, CA (hybrid, 3 days/week)",hybrid,San Francisco,Mid/Senior IC,"$160K-$280K base (SF, per market data)",likely-live,"Embeds with strategic customers on discovery, scoping, and production rollout; deployment-heavy but note it also owns build/system design (some coding).",https://openai.com/careers/forward-deployed-engineer-(fde)-sf-san-francisco/
OpenAI,Forward Deployed Engineer (FDE) - NYC,forward-deployed,"New York City, NY (hybrid, 3 days/week)",hybrid,New York,Mid/Senior IC,,likely-live,Customer-embedded deployment role; discovery + workflow impact + eval-driven feedback matches research/PM profile.,https://openai.com/careers/forward-deployed-engineer-(fde)-nyc-new-york-city/
OpenAI,"Forward Deployed Engineer, Gov",forward-deployed,"Washington, DC",hybrid,Washington DC,Mid/Senior IC,,likely-live,Government deployment variant of FDE; workflow/domain-heavy customer embedding.,https://openai.com/careers/forward-deployed-engineer-gov-washington-dc/
OpenAI,"Solutions Engineer, Pre-Sales",forward-deployed,"San Francisco, CA",hybrid,San Francisco,Mid/Senior IC,,likely-live,"Guides customer AI strategy and identifies highest-value use cases; customer-discovery-heavy, light-coding.",https://openai.com/careers/solutions-engineer-pre-sales-san-francisco/
OpenAI,"AI Success Engineer, Government",delivery-program,"Washington, DC",hybrid,Washington DC,Mid/Senior IC,,likely-live,Post-sale customer success/delivery for gov accounts; ops + adoption focus fits delivery/customer-solutions family.,https://openai.com/careers/ai-success-engineer-government-washington-dc/
OpenAI,Partner Solutions Architect,forward-deployed,"San Francisco, CA",hybrid,San Francisco,Senior IC (founding),,likely-live,"Founding role owning technical engagement with systems integrators; requires 8+ yrs consulting, C-level relationships (senior IC, not Director+).",https://openai.com/careers/partner-solutions-architect-san-francisco/
Anthropic,"Forward Deployed Engineer, Applied AI",forward-deployed,"Not specified (US, likely SF/NYC hybrid)",hybrid,Multiple,Senior IC,~$300K+ base for senior (per market data),likely-live,Embeds with strategic customers to ship Claude applications; ships MCP servers/sub-agents so coding is heavier than the candidate's core - flag.,https://job-boards.greenhouse.io/anthropic/jobs/4985877008
Anthropic,"Solutions Architect, Applied AI (India/APAC)",forward-deployed,India / Asia-Pacific,unknown,Multiple,Senior IC,,likely-live,"Pre-sales technical advisor helping enterprises adopt Claude; customer-workflow-heavy, light-coding - strong fit.",https://job-boards.greenhouse.io/anthropic/jobs/5117581008
Anthropic,"Applied AI Architect, Industries",forward-deployed,Not specified (US),unknown,Multiple,Senior IC,,likely-live,Trusted technical advisor to large enterprises; discovery + value-mapping fits customer-discovery/research profile.,https://job-boards.greenhouse.io/anthropic/jobs/4461444008
Anthropic,"Applied AI Architect, Startups",forward-deployed,Not specified (US),unknown,Multiple,Mid/Senior IC,,likely-live,"Technical partner helping startups build on the Claude Developer Platform; customer-facing, workflow-focused.",https://job-boards.greenhouse.io/anthropic/jobs/5057258008
Anthropic,"Applied AI Architect, Commercial",forward-deployed,Not specified (US),unknown,Multiple,Mid/Senior IC,,likely-live,"Pre-sales architect helping customers integrate and deploy Claude; light-coding, discovery-heavy.",https://job-boards.greenhouse.io/anthropic/jobs/5192805008
Anthropic,"Applied AI Architect, Enterprise Tech",forward-deployed,Not specified (US),unknown,Multiple,Senior IC,,likely-live,Pre-sales architect for large enterprise tech accounts; trusted-advisor role matches strategic-intelligence + writing strengths.,https://job-boards.greenhouse.io/anthropic/jobs/5065835008
Anthropic,"Product Manager, Research",product,"Not specified (US, hybrid)",hybrid,Multiple,Mid/Senior IC,,likely-live,"Owns productizing applied research, identifying high-potential use cases grounded in customer needs - direct PM + product-research fit.",https://job-boards.greenhouse.io/anthropic/jobs/5123082008
Anthropic,"Lead Product Manager, Research",product,"Not specified (US, hybrid)",hybrid,Multiple,Lead IC,,likely-live,"Leads ideation/deployment of new products with Research and Frontiers teams; senior IC PM, not people-management.",https://job-boards.greenhouse.io/anthropic/jobs/4684257008
Anthropic,"Product Manager, Consumer",product,"Not specified (US, hybrid)",hybrid,Multiple,Mid/Senior IC,,likely-live,PM for Claude.ai consumer surface (web/mobile/desktop); customer discovery + D2C fit.,https://job-boards.greenhouse.io/anthropic/jobs/5127559008
Anthropic,"Product Manager, GTM Experiences",product,"Not specified (US, hybrid)",hybrid,Multiple,Mid/Senior IC,,likely-live,PM bridging product and go-to-market; ops + customer-facing product blend.,https://job-boards.greenhouse.io/anthropic/jobs/5254623008
Google DeepMind,"Product Manager, Gemini API Models",product,Not specified (US),onsite,Multiple,Mid/Senior IC,,likely-live,Developer advocate owning the end-to-end model lifecycle on Gemini API and AI Studio; PM + developer-discovery fit.,https://www.google.com/about/careers/applications/jobs/results/130228712753767110-product-manager/
Google DeepMind,"Senior Product Manager, Applied AI",product,Multiple locations,onsite,Multiple,Senior IC,,likely-live,Senior PM translating AI research into real-world applied products; strong PM + product-research match.,https://careers.google.com/jobs/results/82295575180911302-senior-product-manager/
Google DeepMind,"Technical Program Manager, Agentic Capabilities and Product Integration",delivery-program,"Manhattan, NY",onsite,New York,Senior IC,,uncertain,Program management across agentic product integration; cross-team delivery + metrics fit program/ops profile.,"https://www.ziprecruiter.com/c/Google-DeepMind/Job/Technical-Program-Manager,-Agentic-Capabilities-and-Product-Integration,-DeepMind/-in-Manhattan,NY"
Mistral AI,"Applied AI, Forward Deployed Machine Learning Engineer - Palo Alto",forward-deployed,"Palo Alto, CA",onsite,Palo Alto,Mid/Senior IC,,likely-live,Customer-facing technical team deploying use cases pre-sales through implementation; accepts Technical PM / Solutions background but is ML-engineer-titled (coding-heavier) - flag.,https://jobs.lever.co/mistral/0b476d3a-5f0c-4dda-9a5e-bd5ed8515328
Mistral AI,"Applied AI, Forward Deployed Machine Learning Engineer - EMEA",forward-deployed,EMEA,unknown,Multiple,Mid/Senior IC,€75K-€140K (per market data),likely-live,"Same forward-deployed applied-AI role, EMEA; enterprise deployment + customer discovery, but coding-heavier than candidate core.",https://jobs.lever.co/mistral/77f6fd1b-65cf-45d8-9b68-594c62732f62
Cohere,Senior Solutions Architect - San Francisco,forward-deployed,"San Francisco, CA",hybrid,San Francisco,Senior IC,,likely-live,Cross-section of forward-deployed engineering and AI transformation; maps customer problems to solutions - customer-workflow-heavy fit.,https://jobs.ashbyhq.com/cohere/eb58bff6-645c-4434-9893-b34586d69be7
Cohere,Solutions Architect - Public Sector,forward-deployed,Not specified (Public Sector),unknown,Multiple,Mid/Senior IC,,likely-live,"Trusted technical advisor for public-sector accounts; discovery + deployment advisory, light-coding.",https://jobs.ashbyhq.com/cohere/1bc73d85-e6f4-4338-b53a-9ffb609a950d
Cohere,"Technical Program Manager, North Platform",delivery-program,Not specified (Toronto/SF likely),unknown,Multiple,Mid/Senior IC,,likely-live,Program management for Cohere's North enterprise platform; cross-functional delivery + timelines fit program/ops profile.,https://jobs.ashbyhq.com/cohere/929b6c8e-a47c-4512-bb17-99fa9581f23e
Cohere,"Technical Program Manager, AI Delivery for Public Sector & Defence",delivery-program,Not specified (Public Sector & Defence),unknown,Multiple,Mid/Senior IC,,uncertain,AI delivery program management for public-sector/defence; delivery-lead + ops fit. Direct posting URL not isolated - verify on Cohere Ashby board.,https://jobs.ashbyhq.com/cohere
Mercor,Product Manager,product,"San Francisco, CA",onsite,San Francisco,Mid-Senior IC,"$130,000 - $180,000",likely-live,"Owns consumer-facing candidate discovery/onboarding journey and human-data tooling; product ownership with strong customer/user focus, not heavy-coding.",https://jobs.ashbyhq.com/mercor/b0f22275-9ec5-4725-93f9-ea0104cc1272
Mercor,Strategic Project Lead,delivery-program,"San Francisco, CA",onsite,San Francisco,Lead IC,,likely-live,Drives tactical execution of strategic projects across ops/product; program/delivery management fit paired with Strategic Project Associate support roles.,https://jobs.ashbyhq.com/mercor/426a1c6b-e285-4b88-9f94-9048b1d6dc8c
Surge AI,Product Operations Manager,product,Remote,remote,Remote,Mid-Senior IC,,likely-live,"Optimizes systems/processes supporting product development and delivery using data-driven insights; product-ops fit, navigates ambiguity across initiatives.",https://surgehq.ai/careers/product-operations-manager
Surge AI,Program Manager,delivery-program,Remote,remote,Remote,Mid-Senior IC,,likely-live,"Owns execution across engineering and ops teams, driving repeatable processes and tight coordination on deliverables; core program/delivery fit.",https://surgehq.ai/careers/program-manager
Surge AI,Strategic Product Manager,product,Remote,remote,Remote,Senior IC,,likely-live,"Strategic PM shaping data/product platform used by frontier labs; product strategy plus cross-functional execution, matches PM + strategic-research profile.",https://surgehq.ai/careers/strategic-product-manager
Surge AI,Strategic Projects Lead,delivery-program,Remote,remote,Remote,Lead IC,,likely-live,"Ensures data collection/processing systems scale, working across eng, product, ops to optimize pipelines; delivery/ops-generalist fit.",https://surgehq.ai/careers/strategic-projects-lead
Prime Intellect,"Founder's Associate, Business Operations",delivery-program,"San Francisco, CA",onsite,San Francisco,Founding-team / Chief-of-Staff-style IC,,likely-live,"Right-hand to leadership driving priorities and removing org friction; ops/chief-of-staff delivery role, ambiguous and execution-heavy (not SWE, not sales).",https://jobs.ashbyhq.com/PrimeIntellect/eb757c35-2741-4eb5-8474-00c4ce1b1cd0
Mechanize,Operations Generalist,delivery-program,"San Francisco, CA (in person)",onsite,San Francisco,Mid IC,"$200,000",likely-live,"Handles agreements, third-party negotiation, and day-to-day operational work at a small team; ops-generalist/delivery fit, not coding.",https://jobs.ashbyhq.com/mechanize
Handshake AI,"Senior Product Manager, Handshake AI",product,"San Francisco, CA",onsite,San Francisco,Senior,,likely-live,Core PM role on Handshake's AI data business; strong fit for PM + product discovery background.,https://joinhandshake.com/careers/job/?gh_jid=6601812
Handshake AI,"Senior Product Manager, Operator Experience",product,"San Francisco, CA",onsite,San Francisco,Senior,,likely-live,Build platform enabling Ops team to manage AI data annotation projects; PM + ops-facing.,https://www.builtinsf.com/job/senior-product-manager-operator-experience-handshake-ai/8308347
Handshake AI,Program Manager,delivery-program,"San Francisco, CA",onsite,San Francisco,Mid-Senior,,likely-live,Program/ops management in Employer Revenue; fits program-management strength.,https://www.builtinsf.com/job/program-manager/164482
Handshake AI,"Technical Program Manager, AI Operations",delivery-program,"San Francisco, CA",onsite,San Francisco,Mid-Senior,,likely-live,"Owns initiatives across operations, product, and customer delivery; delivery/ops fit.",https://www.builtinsf.com/job/technical-program-manager-ai-operations/7077817
Handshake AI,"Product Manager, Pay and Safety",product,"San Francisco, CA",onsite,San Francisco,Mid,,uncertain,"PM role on trust/safety; direct link not confirmed, listed on careers page.",https://joinhandshake.com/careers/?search=Handshake+AI
Snorkel AI,"Engagement Manager, AI Solutions",delivery-program,Hybrid (Bay Area / San Francisco),hybrid,San Francisco,Senior,$172k-$275k,likely-live,"Leads end-to-end enterprise AI delivery, scoping to value realization; consulting/delivery fit, light-coding.",https://job-boards.greenhouse.io/snorkelai/jobs/5775004004
Snorkel AI,"Engagement Manager, AI Solutions - Federal",delivery-program,Hybrid,hybrid,Multiple,Senior,,likely-live,Federal-focused engagement/delivery manager; client-facing delivery role.,https://job-boards.greenhouse.io/snorkelai/jobs/5775016004
Snorkel AI,"Engagement Manager, Data-as-a-Service (DaaS)",delivery-program,Hybrid,hybrid,San Francisco,Senior,,likely-live,"Primary POC for enterprise accounts, ensuring delivery of complex datasets; customer solutions/delivery.",https://job-boards.greenhouse.io/snorkelai/jobs/5619284004
Snorkel AI,"Manager, AI Solutions Engineer",forward-deployed,Hybrid,hybrid,San Francisco,Manager (IC-adjacent),$190k-$260k,likely-live,"Leads AI solutions engineers on customer deployments; forward-deployed/solutions, some technical depth.",https://job-boards.greenhouse.io/snorkelai/jobs/5837448004
Turing,Delivery Manager - Machine Learning - US,delivery-program,United States (Remote),remote,Remote,Mid-Senior,,likely-live,Leads end-to-end execution of LLM training projects (SFT/RLHF); program/delivery + eval design fit.,https://careers.turing.com/job/5645227004
Turing,Product Manager – Asset Management & AI Solutions,product,Remote,remote,Remote,Mid-Senior,,likely-live,PM for AI solutions in asset management vertical; domain + product fit.,https://careers.turing.com/job/5585323004
Turing,Principal Product Manager,product,Remote,remote,Remote,Principal (IC),,likely-live,"Senior IC PM building future-of-work products; strong PM fit, not people-management.",https://careers.turing.com/job/4187389004
Invisible Technologies,Product Manager,product,New York (Hybrid),hybrid,New York,Mid,,likely-live,"Embeds with enterprise clients, translates ambiguous ideas to AI solutions, discovery-to-launch; excellent discovery/PM fit.",https://job-boards.eu.greenhouse.io/invisibletech/jobs/4707873101
Invisible Technologies,Enterprise Solutions Manager,forward-deployed,Remote / Client-facing,unknown,Remote,Senior,,likely-live,"Bridges talent network and enterprise clients, scales AI solutions via project management; solutions/delivery fit.",https://job-boards.eu.greenhouse.io/invisibletech/jobs/4649449101
Invisible Technologies,Senior Product Operations Manager,product,Remote,unknown,Remote,Senior,,likely-live,Product operations role; fits product ops + program management strength.,https://boards.greenhouse.io/invisibletech/jobs/4311878101
Scale AI,"AI Deployment Strategist, Enterprise",forward-deployed,"San Francisco, CA",onsite,San Francisco,Mid-Senior,"$192,800-$241,000",likely-live,"Owns customer GenAI deployment from first conversation through delivery/expansion; classic deployment strategist, light-coding.",https://scale.com/careers/4699458005
Scale AI,Deployment Strategist,forward-deployed,"San Francisco, CA",onsite,San Francisco,Mid,,likely-live,Guides enterprise GenAI projects to measurable outcomes; customer-workflow-heavy deployment role.,https://scale.com/careers/4709157005
Scale AI,"Technical Program Manager, Enterprise",delivery-program,"San Francisco, CA",onsite,San Francisco,Senior,"$211,200-$264,000",uncertain,Drives enterprise AI/ML delivery and stakeholder management; direct link not confirmed.,https://scale.com/careers
Labelbox,Deployment Lead,forward-deployed,San Francisco Bay Area,hybrid,San Francisco,Lead (IC),,likely-live,"Leads deployment of expert data teams for customers; deployment/delivery fit, light-coding.",https://job-boards.greenhouse.io/labelbox/jobs/5158994007
Labelbox,Technical Program Manager,delivery-program,San Francisco Bay Area,hybrid,San Francisco,Mid-Senior,,likely-live,Leads high-impact initiatives at intersection of data and AI; program management fit.,https://job-boards.greenhouse.io/labelbox/jobs/4785366007
Labelbox,"Technical Program Manager, Robotics",delivery-program,San Francisco Bay Area,hybrid,San Francisco,Mid-Senior,,likely-live,Builds and deploys expert teams for robotics data; program/delivery + domain fit.,https://job-boards.greenhouse.io/labelbox/jobs/5003650007
Labelbox,TPM Manager,delivery-program,San Francisco Bay Area,hybrid,San Francisco,Manager,,likely-live,"Manages the TPM team and operational engine; delivery/ops leadership, below Director level.",https://job-boards.greenhouse.io/labelbox/jobs/5159011007
Datacurve,Strategic Project Lead – Growth & Operations,delivery-program,"San Francisco, CA",onsite,San Francisco,Lead (IC),$94k-$140k (estimate),likely-live,"Owns strategic projects across growth/ops, bridge between labs, research teams, contributors; strong ops/program fit.",https://jobs.ashbyhq.com/datacurve/ce95a1ce-957e-4482-805e-964c4690ba9a
Bespoke Labs,Strategic Projects Lead,delivery-program,"Mountain View, CA",onsite,Mountain View,Lead / Founding,,likely-live,"Operational excellence, expert management, revenue-facing projects at applied AI lab; ops/delivery + ambiguity fit.",https://jobs.ashbyhq.com/bespokelabs/292f1389-5308-4c4f-ba50-379f8d3c5881
Bespoke Labs,AI Enterprise Engineer,forward-deployed,"Mountain View, CA",onsite,Mountain View,Mid-Senior,,likely-live,"Works with enterprise customers to define model specs, analyze agent behavior, benchmark models; eval/rubric + customer-facing, some coding expected.",https://jobs.ashbyhq.com/bespokelabs/e43cd0cb-37e2-43ad-bc34-fbf72ef943f4
Arize AI,AI Product Manager,product,"San Francisco, CA",hybrid,San Francisco,Mid (2-3+ yrs PM),,likely-live,"Owns a large portion of core product roadmap end-to-end; strong PM + AI-eval fit, mid-level not Director.",https://job-boards.greenhouse.io/arizeai/jobs/5818115004
Arize AI,Partner Product & Solutions Lead,forward-deployed,Remote / US,remote,Remote,Senior/Lead IC,,likely-live,"Solutions-lead role bridging product and partners; customer-workflow-heavy, matches AI Solutions Lead family.",https://job-boards.greenhouse.io/arizeai/jobs/5978967004
Arize AI,"Forward Deployed Engineer, US",forward-deployed,"Remote, US (travel)",remote,Remote,Mid (2-5 yrs),$125K-$175K + equity,likely-live,"Forward-deployed customer-facing, but coding-heavy (Python/Java/TS required) - lower fit for non-SWE. West-region variant also open.",https://job-boards.greenhouse.io/arizeai/jobs/6002637004
LangChain,"Product Manager, LangSmith",product,"San Francisco, CA",unknown,San Francisco,Senior IC,,likely-live,PM for LangSmith observability/eval/deployment suite; direct fit for PM + eval/rubric background.,https://jobs.ashbyhq.com/langchain/27af5f96-b287-4bcc-8679-f96686dc7c8d
LangChain,Deployed Engineer (Bay Area),forward-deployed,"Bay Area, CA",hybrid,San Francisco,Mid/Senior IC,,likely-live,"Forward-deployed team turning customer prototypes into production agents; coding-leaning. Also open in Phoenix, LA, Chicago, Charlotte, Central, Federal.",https://jobs.ashbyhq.com/langchain/e773649c-4ea7-47c2-9987-74d525474e82
